stories_id,place,media name,speaker,text,snippet,mentions covid? (true/false),Checked (y/n)
1547024012,India,HindustanTimes,Kapil Sharma,"‘Apart from 8 films, he also snatches ads from small people like me’","Kapil Sharma jokes Akshay Kumar grabbed his ad: ‘Apart from 8 films, he also snatches ads from small people like me’ Bollywood star Akshay Kumar “snatched” an advertisement project from comedian Kapil Sharma, the TV ",TRUE,y
1569995034,India,The Times of India,Unknown,‘came in contact’,"ve launched efforts in coordination with the Villupuram district administration to trace people who ‘came in contact’ with the patient. The patient, a man, was among several people from Villupuram district who attende",TRUE,y
1558338820,India,indianexpress.com,Unknown,‘fastest’,"73 lakh answer scripts, 25 days: How Bihar Board declared ‘fastest’ result amid coronavirus lockdown . By: . Education Desk | New Delhi | 		
																										",TRUE,y
1571652876,India,thehindu,Bill Gates,‘germ games’," balance between economic and social goals? . Second, what is national power? “We need to have more ‘germ games’ like we have war games,” Bill Gates said some years ago. The U.S. is the pre-eminent military and e",TRUE,y
1566153116,India,The Times of India,Unknown,‘Muslim threat’,"Indian Muslims. Particularly a sect called Tablighi Jamaat. Unfortunately, instigating fears of the ‘Muslim threat’ associated with the transmission of the coronavirus by selected media outlets aligns with previous ",TRUE,y
1553178397,India,thehindu,Unknown,‘must’,"ant some 50 people used to visit the undertrial or convict inmates. “We are allowing only those who ‘must’ meet an inmate. The risk is being done away with screening and sanitation of such people,” the jail",TRUE,y
1543748034,India,thehindu,Mr. K. Sudhakar,‘paramount’,"chemes, Medical Education Minister Dr. K. Sudhakar said on Tuesday. Stressing that their safety was ‘paramount’, he also asked them to follow the guidelines laid down by the Health Department while treating COVI",TRUE,y
1568137313,India,business-standard.com,Unknown,‘perishable commodity’,"ic package for apparels. “Apparel industry is a seasonal industry and the products are similar to a ‘perishable commodity’ as they are a tailor-made, design-specific, fashion-specific export and any cancellation this year ",TRUE,y
1543489694,India,firstpost.com,Unknown,‘so very worst’," means that I don’t have to be all gross and political when I say this movie is, to quote a friend, ‘so very worst’. It is unbelievably problematic. But it’s also a steaming pile of poo. So there’s that at least. I ",TRUE,y
1557188846,India,newindianexpress.com,Hissamudin Papa,‘This is a challenge’,"living in polluted urban centres,” said Dr Hissamudin Papa, founder and director of HUMA Hospitals. ‘This is a challenge’ A senior police officer in Chennai acknowledged that the pandemic was posing a challenge to all. “W",TRUE,y
1566861527,India,indianexpress.com,Dick Pound,‘this is the new war and you have to face it’,"lks that that might happen this year. Dick Pound, IOC’s longest-serving member, recently said that, ‘this is the new war and you have to face it’. In this episode, Mihir Vasavda and Gaurav Bhatt, discuss the impact that cancelling the 2020 Olymp",TRUE,y
1555962387,India,economictimes,Unknown,‘uninspiring’,"New Parliament design: MPs call it ‘uninspiring’, resembles hotel NEW DELHI: The government’s plan to construct new houses of . Parliament by 2022 a",TRUE,y
1572391954,India,newindianexpress.com,Unknown,‘What is education?’,"am just a Class 12 pass-out— uneducated in the eyes of society. But indha edathula naan kekkarathu, ‘What is education?’. For cinema, education can be obtained from watching films and reading about cinema. Also, this is ",TRUE,y
1574231940,India,business-standard.com,Julio Mayol,""" As scientists race to unravel the new coronavirus' mysteries, as yet unsure of how resistant people become to re-infection after exposure, health workers hope that those among them who recovered and are returning to hospitals are now armed not only with a deeper, more personal understanding of the virus but also with some degree of immunity. That armor against possible reinfection could make them especially useful in the drawn-out battle until a vaccine is found. It helps a lot for them to return to work, and especially for them to return with immunization. That's really fantastic because it takes away the fear that we have for a second wave of infections,""","uilty staying at home,"" Montravers said. As soon as they are feeling better, they come back to help."" As scientists race to unravel the new coronavirus' mysteries, as yet unsure of how resistant people become to re-infection after exposure, health workers hope that those among them who recovered and are returning to hospitals are now armed not only with a deeper, more personal understanding of the virus but also with some degree of immunity. That armor against possible reinfection could make them especially useful in the drawn-out battle until a vaccine is found. It helps a lot for them to return to work, and especially for them to return with immunization. That's really fantastic because it takes away the fear that we have for a second wave of infections,"" said Dr. Julio Mayol, medical director of the San Carlos Clinic Hospital in Madrid. Nearly 15% of i",TRUE,y
1581060222,India,livemint.com,Chidambaram,""" Chidambaram said on Twitter. “Symbolism is important, but serious thought to ideas and measures is equally important.""","il 5. But, in return, please listen to us and to the wise counsel of epidemiologists and economists,"" Chidambaram said on Twitter. “Symbolism is important, but serious thought to ideas and measures is equally important."". Political scientists said Modi’s messaging seems to be working. “The prime minister is a master of",TRUE,y
1558586232,India,business-standard.com,Mohammed Salim,""" CPI(M) politburo member  Mohammed Salim said. He added that young party activists in their  respective localities have created WhatsApp groups to help the  needy and the elderly with essentials at this time of crisis. State BJP president and MP Dilip Ghosh said he is in  touch with its workers over phone, and all party offices  across the state have been asked to close down for the next 21  days, the lockdown period announced by Prime Minister Narendra  Modi on Tuesday evening. ""All of our state party leaders and workers are at  home. Offices are closed,""","cts  levels are operating with skeletal strength. If needed, we  will close them for the time being,"" CPI(M) politburo member  Mohammed Salim said. He added that young party activists in their  respective localities have created WhatsApp groups to help the  needy and the elderly with essentials at this time of crisis. State BJP president and MP Dilip Ghosh said he is in  touch with its workers over phone, and all party offices  across the state have been asked to close down for the next 21  days, the lockdown period announced by Prime Minister Narendra  Modi on Tuesday evening. ""All of our state party leaders and workers are at  home. Offices are closed,"" he said. Ghosh, who has a busy schedule on most days of the  week, is now spending time reading boo",TRUE,y
