stories_id,place,media name,speaker,text,snippet,mentions covid? (true/false),Checked (y/n)
1542302063,India,newindianexpress.com,Unknown,‘absolutely vague’," occasions. Besides, steps indicated by the GHMC for implementing solid waste management rules were ‘absolutely vague’, the bench said. As for the State-level committee meetings meant for monitoring the implementation ",FALSE,y
1560987366,India,indianexpress.com,Unknown,‘attack’,"Home quarantined persons ‘attack’ police team in Baramati, nine cops injured; 20 detained . By: . Express News Service | Pune | 		
		",FALSE,y
1548295089,India,thehindu,Gaddam Laxman,‘BJP govt. has set aside public agenda for a Hindutva one’,‘BJP govt. has set aside public agenda for a Hindutva one’ Civil Liberties Council (CLC) State president Gaddam Laxman has accused the Centre of behaving irre,FALSE,y
1544148302,India,HindustanTimes,Sanjay Raut,‘dance of death’,"ns remain. In a recent editorial in the Saamna, party MP Sanjay Raut described the Delhi riots as a ‘dance of death’ and said even Lord Yamraj, the Hindu God of death, would have run away from the scene. As I presume",FALSE,y
1570475576,India,thehindu,Unknown,‘Don’t have accurate data on attendees of Delhi event’,‘Don’t have accurate data on attendees of Delhi event’ The data available with the authorities on those who had attended the Tablighi Jamaat conference in,FALSE,y
1599099619,India,HindustanTimes,Aakash Chopra,"‘I’m not Sidhu, I can’t do that,’","‘I’m not Sidhu, I can’t do that,’ Aakash Chopra reveals how he is different from other commentators When Aakash Chopra retired in 201",FALSE,y
1541768273,India,newindianexpress.com,Virginie Viard,‘romanticism but without any flourishes. Emotions but without any frills.’,"and couture. But what stood out was designer Virginie Viard, who described her Chanel collection as ‘romanticism but without any flourishes. Emotions but without any frills.’ Designers back home, including eminent fashion personality Prasad Bidapa, point out that Virginie V",FALSE,y
1553598813,India,financialexpress,Bill Gates,‘Success is a lousy teacher; it seduces smart people into thinking they can’t lose’," brand as I am a footwear enthusiast and understand shoes really well. A famous quote I swear by… . ‘Success is a lousy teacher; it seduces smart people into thinking they can’t lose’ – Bill Gates. My wanderlust . I want to visit Antarctica once, just to experience isolation from th",FALSE,y
1543036100,India,thehindu,He,‘sustainability through consumption’,"vent would be an opportunity for local growers to showcase their coffee. “The theme of the event is ‘sustainability through consumption’. One of the main objectives is to promote the consumption of coffee,” he said. A study conducted in",FALSE,y
1548047104,India,thehindu,He,‘Why you are always so curious ma? Go inside and keep dosai ready. I am coming in 10-15 minutes after brisk walk.’,"cracked some 10,566 times. (Yes, I have counted, what it is to you?). But he had to stop and reply. ‘Why you are always so curious ma? Go inside and keep dosai ready. I am coming in 10-15 minutes after brisk walk.’ As you are well knowing, madam, Mr. Mathrubootham has not taken one brisk walk in entire life so my",FALSE,y
1537109122,India,"NDTV.com: India, Business, Bollywood, Cricket, Video and Breaking News",Unknown,""" Bunty Aur Babli 2 team con with finesse as they wrap the Abu Dhabi schedule!""","uction company Yash Raj Films. Their social media handle shared the picture on Instagram and wrote, "" Bunty Aur Babli 2 team con with finesse as they wrap the Abu Dhabi schedule!"". Siddhant Chaturvedi shared the photo on his Instagram story and wrote, ""The BnB squad."". Bunty Aur",FALSE,y
1549593798,India,livemint.com,Unknown,""" said a senior analyst who did not wish to be named. The analyst said that it is unlikely that Yes Bank will be able to attract fresh deposits anytime soon and despite the ₹ 10,000 crore infusion, it would still need liquidity to repay depositors. “One way this could work out is if some public sector banks transfer some deposits from their books to Yes Bank,""","nding fresh corporate loan. Once you have fewer loans to make, you will not need that many deposits,"" said a senior analyst who did not wish to be named. The analyst said that it is unlikely that Yes Bank will be able to attract fresh deposits anytime soon and despite the ₹ 10,000 crore infusion, it would still need liquidity to repay depositors. “One way this could work out is if some public sector banks transfer some deposits from their books to Yes Bank,"" he said, adding that expectations of RBI gradually lifting the moratorium than in one go is misplac",FALSE,y
1571131284,India,indiatoday.intoday.in,Seemanth Kumar Singh,""" said IPS officer Seemanth Kumar Singh. He said every distress call that he received, he directed the local police to immediately deliver essentials following which they managed to deliver food with the help of NGOs and other organisations. The IPS officer added that the police have since provided ration to around 4,000. He says he has passed on the data of 4,000 labourers stranded in different parts of the city to authorities to provide them food. On receiving calls from Kerala and Karnataka, the IPS officer says he informs his counterpart for help who make sure food is delivered. Now I am getting calls from individuals who are willing to sponsor food packets and so I direct them to local police or government authorities,""","as shocked with so many calls. People kept calling, asking for food. They thought it was a helpline,"" said IPS officer Seemanth Kumar Singh. He said every distress call that he received, he directed the local police to immediately deliver essentials following which they managed to deliver food with the help of NGOs and other organisations. The IPS officer added that the police have since provided ration to around 4,000. He says he has passed on the data of 4,000 labourers stranded in different parts of the city to authorities to provide them food. On receiving calls from Kerala and Karnataka, the IPS officer says he informs his counterpart for help who make sure food is delivered. Now I am getting calls from individuals who are willing to sponsor food packets and so I direct them to local police or government authorities,"" Seemanth Kumar Singh said. . Get real-time alerts and all the . news on your phone with the all-new",FALSE,y
1551563859,India,The Times of India,Unknown,""".so far, the committee has held 25 meetings in which the implementation status has been reviewed. The last meeting of the committee was held on January 9 this year,""","tee under his chairmanship to review the implementation of the act in states and Union territories. "".so far, the committee has held 25 meetings in which the implementation status has been reviewed. The last meeting of the committee was held on January 9 this year,"" the minister said. . .",FALSE,y
1541865013,India,business-standard.com,Milind Pant,"""a billion people live healthier""",", according to the company's global CEO Milind Pant. The company, which has set a target of helping ""a billion people live healthier"" by 2029 under a 10-year plan to mark its 70th anniversary, currently has women accounting for aroun",FALSE,y
1577096938,India,financialexpress,Unknown,"""a successful failure""","NASA celebrates 50th anniversary of Apollo 13, a mission known as ""a successful failure"" . . The leading space agency aborted the landing of the mission and launched an alternate mission r",FALSE,y
1543148391,India,newindianexpress.com,Unknown,"""abducted"""," Legislative Assembly vote in the Rajya Sabha elections. The Congress recently alleged that the BJP ""abducted"" some MLAs to bring down the Kamal Nath government in the state. However, the BJP denied the allegat",FALSE,y
1545783283,India,business-standard.com,Unknown,"""absolute vilification"""," also sought quashing of the complaint, which describes his statement as an ""intolerable abuse"" and ""absolute vilification"" of the faith of millions of people. The complaint was filed under sections 499 and 500 of the India",FALSE,y
1553921355,India,The Times of India,Sandeep Goel,"""After the doctor examined the bodies and declared all four dead, they were sent to Deen Dayal Upadhyay Hospital for the post-mortem. Later, their bodies were handed over to their families,""","were kept hanging for half an hour, a mandatory procedure after execution as per the prison manual. ""After the doctor examined the bodies and declared all four dead, they were sent to Deen Dayal Upadhyay Hospital for the post-mortem. Later, their bodies were handed over to their families,"" Director General of Tihar Jail . Sandeep Goel said. According to a senior jail official, Akshay's b",FALSE,y
1545906357,India,"NDTV.com: India, Business, Bollywood, Cricket, Video and Breaking News",Unknown,"""Always On Her Phone, Even In Paradise.""","Tanishaa Mukerji Is ""Always On Her Phone, Even In Paradise."" See Holiday Pic Tanishaa Mukerji shared this picture. (Image courtesy: tanishaamukerji ). . . Highl",FALSE,y
1549866094,India,business-standard.com,Unknown,"""American aggression""","group.  Iraq -- which has long feared getting caught in spiraling US-Iran tensions -- denounced the ""American aggression"" and said it would lodge a complaint with the UN Security Council. The conflict dramatically escalat",FALSE,y
1540321828,India,business-standard.com,Dave,"""An extract was made to make the court believe that he said something objectionable. Mander is not in India. We will file a reply. The government wants to shoot messenger, it's trying to browbeat. But it's not willing to take action against others who incited the mob,""","Mander, told the court that the speech was neither seditious, neither disparaging nor inflammatory. ""An extract was made to make the court believe that he said something objectionable. Mander is not in India. We will file a reply. The government wants to shoot messenger, it's trying to browbeat. But it's not willing to take action against others who incited the mob,"" Dave told the court. Solicitor General Tushar Mehta, appearing for Delhi Police, said that they hav",FALSE,y
1560927335,India,indiatoday.intoday.in,Unknown,"""Any inquiry within the board will serve no purpose as obviously in any scenario some of their officials would be responsible for this mess,""","ad said there was a need to have an independent inquiry committee look into the matter immediately. ""Any inquiry within the board will serve no purpose as obviously in any scenario some of their officials would be responsible for this mess,"" the former captain said. Miandad said the independent inquiry should find out how the live streamin",FALSE,y
1537199656,India,indiatoday.intoday.in,Unknown,"""Aqib went out on February 24 afternoon to buy clothes for his sister's wedding, scheduled on March 17, when he was injured in stone-pelting,""","His father, a resident of Bhagirathi Vihar in Mustafabad, has five children and owns a bangle shop. ""Aqib went out on February 24 afternoon to buy clothes for his sister's wedding, scheduled on March 17, when he was injured in stone-pelting,"" the victim's cousin said. The cousin said the preparations for the wedding in the family are in dis",FALSE,y
1548210077,India,indiatoday.intoday.in,Manish Doshi,"""As part of strategy, we are shifting some of our MLAs so that the BJP is not able to use state machinery to poach them.""","nd one of the NCP, but will still need another five votes. Congress spokesperson Manish Doshi said, ""As part of strategy, we are shifting some of our MLAs so that the BJP is not able to use state machinery to poach them."". He, however, did not specify the exact number of MLAs or the destination where they will be taken.",FALSE,y
1553690529,India,business-standard.com,Sanjeev Agrawal,"""As we grow rapidly, I am confident that this new facility will play a significant role in defining our success path. It will ensure the smooth working and efficient productivity of our employees by successfully enabling them to carve a journey of innovation and transformation""","for its people. The company also has two other world-class premises at Indore and one at Bengaluru. ""As we grow rapidly, I am confident that this new facility will play a significant role in defining our success path. It will ensure the smooth working and efficient productivity of our employees by successfully enabling them to carve a journey of innovation and transformation"", said Sanjeev Agrawal, VP Operations  &  Human Empowerment. This story is provided by PRNewswire. A",FALSE,y
