name,gender
Trump,Male
Buhari,Male
Modi,Male
Mueller,Male
Ramaphosa,Male
Biden,Male
Atiku,Male
RUTO,Male
Theresa,Female
Chelsea,N/A
Pelosi,Female
Ruto,Male
Johnson,Male
Warren,Female
Rahul,Male
Harry,Male
Kenyatta,Male
Zuma,Male
Putin,Male
Corbyn,Male
Obama,Male
Chidambaram,Male
Sonko,Male
Pompeo,Male
Obaseki,Male
Osinbajo,Male
Netanyahu,Male
Cohen,Male
Tesla,N/A
Sanders,Male
Zondo,Male
Breitbart,N/A
Barr,Male
Mamata,Female
Dhoni,Male
Mayawati,Female
Maduro,Male
Davido,Male
Meghan,Female
Obasanjo,Male
RAILA,Male
UHURU,Male
Epstein,Male
Brexit,N/A
Buttigieg,Male
Messi,Male
Saraki,Male
Raila,Male
Gordhan,Male
Solskjaer,Male
Bafana,N/A
Jonathan,Male
Fayemi,Male
Pak,N/A
Ronaldo,Male
Uhuru,Male
Lawan,Male
DA,N/A
Bolton,Male
Wike,Male
ED,N/A
Kim,Male
KRA,N/A
Fox,N/A
Schiff,Male
Bashir,Male
Kejriwal,Male
Boris,Male
Pope,Male
Mugabe,Male
Tinubu,Male
Giuliani,Male
Khashoggi,Male
Erdogan,Male
Harris,Female
Guardiola,Male
Omar,Unknown
McConnell,Male
Priyanka,Female
Semenya,Female
Macron,Male
William,Male
Merkel,Female
Cardi,Female
Andrew,Male
Graham,Male
Diana,Female
Kohli,Male
Clinton,Female
Waititu,Male
Museveni,Male
Tacha,Female
Sanwo-Olu,Male
Dickson,Male
Klopp,Male
Jaitley,Male
O'Rourke,Male
Malema,Male
Zari,Female
Kavanaugh,Male
Schumer,Male
BBNaija,N/A
Bosasa,N/A
Jaishankar,Male
Dorian,N/A
Cramer,N/A
Nolte,N/A
Serena,Female
Kate,Female
Huffman,Female
Bello,Male
Rihanna,Female
Amaechi,Male
El-Rufai,Male
Gandhi,Unknown
Powell,Male
Stalin,Male
Manafort,Male
Akeredolu,Male
Booker,Male
Hamilton,Male
Jesus,Male
Ganduje,Male
Mboweni,Male
Federer,Male
Nadal,Male
Mabuza,Male
Kelly,Male
Kumaraswamy,Male
Djokovic,Male
Pochettino,Male
Zuckerberg,Male
Odinga,Male
Beyoncé,Female
Gupta,Male
Baghdadi,Male
Gbajabiamila,Male
Makinde,Male
Cele,Male
Cuomo,Male
Telangana,N/A
Duke,Unknown
Mkhwebane,Female
Gillibrand,Female
Joho,Male
Moi,Male
Mnuchin,Male
K'taka,N/A
Alex,Unknown
Abiodun,Male
Bigg,N/A
Sonia,Female
Bobrisky,Female
Naidu,Male
Trudeau,Male
Mariga,Male
Mashaba,Male
Sindhu,Female
Klobuchar,Female
Jowie,Male
El-Zakzaky,Male
Zille,Female
Salah,Male
Kushner,Male
Salvini,Male
Adeleke,Male
Okorocha,Male
Umahi,Male
Okowa,Male
Northam,Male
Bernie,Male
Bengaluru,N/A
NIA,N/A
Middendorp,Male
Shah,Male
Mkhize,Male
Fauci,Male
Nizamuddin,Male
Kagwe,Male
Elizabeth,Female
Morgan,Male
Bolsonaro,Male
Joe,Male
Mourinho,Male
